state,state_po,votePercentage
ALABAMA,AL,0.39865400447743277
ALASKA,AK,0.091680824587621
ARIZONA,AZ,0.0028147084582632043
ARKANSAS,AR,0.4220643448002198
CALIFORNIA,CA,-0.32548462980993875
COLORADO,CO,-0.09388012510651711
CONNECTICUT,CT,-0.19519388065931836
DELAWARE,DE,-0.174063530423741
DISTRICT OF COLUMBIA,DC,-0.8689797856464523
FLORIDA,FL,0.05060367747506905
GEORGIA,GA,0.019925729269159254
HAWAII,HI,-0.3789814542243155
IDAHO,ID,0.3598902941373723
ILLINOIS,IL,-0.15971146507708134
INDIANA,IN,0.12522618774429223
IOWA,IA,0.059367428403163613
KANSAS,KS,0.16088856641841176
KENTUCKY,KY,0.2970725677020425
LOUISIANA,LA,0.25566469347808984
MAINE,ME,-0.15909512193313513
MARYLAND,MD,-0.30008619715844503
MASSACHUSETTS,MA,-0.5399957022182003
MICHIGAN,MI,-0.012713270181532232
MINNESOTA,MN,0.462426476974465
MISSISSIPPI,MS,0.31375900050121636
MISSOURI,MO,0.18570258955315044
MONTANA,MT,0.12772709967764406
NEBRASKA,NE,0.2753814413713829
NEVADA,NV,-0.023475023971053166
NEW HAMPSHIRE,NH,-0.07606703558437533
NEW JERSEY,NJ,-0.15702580383634374
NEW MEXICO,NM,-0.09740542396535401
NEW YORK,NY,-0.24703252718219815
NORTH CAROLINA,NC,-0.005483566671468099
NORTH DAKOTA,ND,0.6903522575959327
OHIO,OH,0.13910164982370743
OKLAHOMA,OK,0.3664111312293612
OREGON,OR,-0.1382177776196481
PENNSYLVANIA,PA,0.013267948151301834
RHODE ISLAND,RI,-0.41691840415228043
SOUTH CAROLINA,SC,0.13417249145356164
SOUTH DAKOTA,SD,0.8095501493467964
TENNESSEE,TN,0.2040159141710161
TEXAS,TX,0.09288604451305887
UTAH,UT,0.256589868960378
VERMONT,VT,-0.40360998602859194
VIRGINIA,VA,-0.04786582657102112
WASHINGTON,WA,-0.20457090858182836
WEST VIRGINIA,WV,0.35125484286710873
WISCONSIN,WI,0.02927334863832637
WYOMING,WY,0.4407194665029386
