,state,state_po,district,county_fips,party_simplified,votes,totalVotes,votePercentage
0,ALABAMA,AL,1,1003.0,DEMOCRAT,24326,108290,0.22463754732662294
1,ALABAMA,AL,1,1003.0,REPUBLICAN,83964,108290,0.775362452673377
2,ALABAMA,AL,1,1025.0,DEMOCRAT,1408,4386,0.32102143182854537
3,ALABAMA,AL,1,1025.0,REPUBLICAN,2978,4386,0.6789785681714546
4,ALABAMA,AL,1,1053.0,DEMOCRAT,4983,15670,0.317996171027441
5,ALABAMA,AL,1,1053.0,REPUBLICAN,10687,15670,0.6820038289725591
6,ALABAMA,AL,1,1097.0,DEMOCRAT,79335,181197,0.4378383748075299
7,ALABAMA,AL,1,1097.0,REPUBLICAN,101862,181197,0.56216162519247
8,ALABAMA,AL,1,1099.0,DEMOCRAT,4519,10563,0.4278140679731137
9,ALABAMA,AL,1,1099.0,REPUBLICAN,6044,10563,0.5721859320268863
10,ALABAMA,AL,1,1129.0,DEMOCRAT,2378,8668,0.27434240886017536
11,ALABAMA,AL,1,1129.0,REPUBLICAN,6290,8668,0.7256575911398246
12,ALABAMA,AL,2,1001.0,DEMOCRAT,7357,27438,0.2681317880311976
13,ALABAMA,AL,2,1001.0,REPUBLICAN,20081,27438,0.7318682119688024
14,ALABAMA,AL,2,1005.0,DEMOCRAT,4691,10334,0.45393845558351076
15,ALABAMA,AL,2,1005.0,REPUBLICAN,5643,10334,0.5460615444164892
16,ALABAMA,AL,2,1011.0,DEMOCRAT,3348,4498,0.7443308136949756
17,ALABAMA,AL,2,1011.0,REPUBLICAN,1150,4498,0.25566918630502444
18,ALABAMA,AL,2,1013.0,DEMOCRAT,3893,9330,0.4172561629153269
19,ALABAMA,AL,2,1013.0,REPUBLICAN,5437,9330,0.5827438370846731
20,ALABAMA,AL,2,1031.0,DEMOCRAT,4875,22086,0.22072806302635153
21,ALABAMA,AL,2,1031.0,REPUBLICAN,17211,22086,0.7792719369736485
22,ALABAMA,AL,2,1035.0,DEMOCRAT,2987,6222,0.4800707168113147
23,ALABAMA,AL,2,1035.0,REPUBLICAN,3235,6222,0.5199292831886854
24,ALABAMA,AL,2,1039.0,DEMOCRAT,2708,17145,0.157946923301254
25,ALABAMA,AL,2,1039.0,REPUBLICAN,14437,17145,0.842053076698746
26,ALABAMA,AL,2,1041.0,DEMOCRAT,1689,6505,0.2596464258262875
27,ALABAMA,AL,2,1041.0,REPUBLICAN,4816,6505,0.7403535741737125
28,ALABAMA,AL,2,1045.0,DEMOCRAT,5114,19475,0.2625930680359435
29,ALABAMA,AL,2,1045.0,REPUBLICAN,14361,19475,0.7374069319640565
30,ALABAMA,AL,2,1051.0,DEMOCRAT,10029,40601,0.24701362035417848
31,ALABAMA,AL,2,1051.0,REPUBLICAN,30572,40601,0.7529863796458215
32,ALABAMA,AL,2,1061.0,DEMOCRAT,1599,12436,0.1285783210035381
33,ALABAMA,AL,2,1061.0,REPUBLICAN,10837,12436,0.8714216789964618
34,ALABAMA,AL,2,1067.0,DEMOCRAT,2527,9151,0.2761446836411321
35,ALABAMA,AL,2,1067.0,REPUBLICAN,6624,9151,0.7238553163588679
36,ALABAMA,AL,2,1069.0,DEMOCRAT,12748,45685,0.2790412608077049
37,ALABAMA,AL,2,1069.0,REPUBLICAN,32937,45685,0.720958739192295
38,ALABAMA,AL,2,1101.0,DEMOCRAT,36253,58724,0.6173455486683468
39,ALABAMA,AL,2,1101.0,REPUBLICAN,22471,58724,0.38265445133165316
40,ALABAMA,AL,2,1109.0,DEMOCRAT,5468,13652,0.4005273952534427
41,ALABAMA,AL,2,1109.0,REPUBLICAN,8184,13652,0.5994726047465573
42,ALABAMA,AL,3,1015.0,DEMOCRAT,14389,50526,0.28478407156711394
43,ALABAMA,AL,3,1015.0,REPUBLICAN,36137,50526,0.7152159284328861
44,ALABAMA,AL,3,1017.0,DEMOCRAT,6091,15080,0.40391246684350135
45,ALABAMA,AL,3,1017.0,REPUBLICAN,8989,15080,0.5960875331564987
46,ALABAMA,AL,3,1019.0,DEMOCRAT,1399,11363,0.12311889465810086
47,ALABAMA,AL,3,1019.0,REPUBLICAN,9964,11363,0.8768811053418991
48,ALABAMA,AL,3,1027.0,DEMOCRAT,1148,6858,0.1673957421988918
49,ALABAMA,AL,3,1027.0,REPUBLICAN,5710,6858,0.8326042578011082
50,ALABAMA,AL,3,1029.0,DEMOCRAT,645,7136,0.09038677130044843
51,ALABAMA,AL,3,1029.0,REPUBLICAN,6491,7136,0.9096132286995515
52,ALABAMA,AL,3,1081.0,DEMOCRAT,26320,70555,0.3730423074197435
53,ALABAMA,AL,3,1081.0,REPUBLICAN,44235,70555,0.6269576925802566
54,ALABAMA,AL,3,1087.0,DEMOCRAT,6810,8608,0.7911245353159851
55,ALABAMA,AL,3,1087.0,REPUBLICAN,1798,8608,0.20887546468401488
56,ALABAMA,AL,3,1101.0,DEMOCRAT,9031,19986,0.45186630641449016
57,ALABAMA,AL,3,1101.0,REPUBLICAN,10955,19986,0.5481336935855099
58,ALABAMA,AL,3,1111.0,DEMOCRAT,2134,10650,0.20037558685446008
59,ALABAMA,AL,3,1111.0,REPUBLICAN,8516,10650,0.7996244131455399
60,ALABAMA,AL,3,1113.0,DEMOCRAT,10916,21087,0.5176649120311092
61,ALABAMA,AL,3,1113.0,REPUBLICAN,10171,21087,0.4823350879688908
62,ALABAMA,AL,3,1115.0,DEMOCRAT,7451,43929,0.1696146053859637
63,ALABAMA,AL,3,1115.0,REPUBLICAN,36478,43929,0.8303853946140363
64,ALABAMA,AL,3,1121.0,DEMOCRAT,12709,35436,0.3586465741054295
65,ALABAMA,AL,3,1121.0,REPUBLICAN,22727,35436,0.6413534258945705
66,ALABAMA,AL,3,1123.0,DEMOCRAT,5552,20765,0.26737298338550447
67,ALABAMA,AL,3,1123.0,REPUBLICAN,15213,20765,0.7326270166144956
68,ALABAMA,AL,4,1009.0,DEMOCRAT,189,2119,0.08919301557338367
