,CountyName,StateName,CountyFIPS,StateAbbr,STATE_COUNTY
0,Autauga,Alabama,01001,AL,AL | AUTAUGA
1,Baldwin,Alabama,01003,AL,AL | BALDWIN
2,Barbour,Alabama,01005,AL,AL | BARBOUR
3,Bibb,Alabama,01007,AL,AL | BIBB
4,Blount,Alabama,01009,AL,AL | BLOUNT
5,Bullock,Alabama,01011,AL,AL | BULLOCK
6,Butler,Alabama,01013,AL,AL | BUTLER
7,Calhoun,Alabama,01015,AL,AL | CALHOUN
8,Chambers,Alabama,01017,AL,AL | CHAMBERS
9,Cherokee,Alabama,01019,AL,AL | CHEROKEE
10,Chilton,Alabama,01021,AL,AL | CHILTON
11,Choctaw,Alabama,01023,AL,AL | CHOCTAW
12,Clarke,Alabama,01025,AL,AL | CLARKE
13,Clay,Alabama,01027,AL,AL | CLAY
14,Cleburne,Alabama,01029,AL,AL | CLEBURNE
15,Coffee,Alabama,01031,AL,AL | COFFEE
16,Colbert,Alabama,01033,AL,AL | COLBERT
17,Conecuh,Alabama,01035,AL,AL | CONECUH
18,Coosa,Alabama,01037,AL,AL | COOSA
19,Covington,Alabama,01039,AL,AL | COVINGTON
20,Crenshaw,Alabama,01041,AL,AL | CRENSHAW
21,Cullman,Alabama,01043,AL,AL | CULLMAN
22,Dale,Alabama,01045,AL,AL | DALE
23,Dallas,Alabama,01047,AL,AL | DALLAS
24,DeKalb,Alabama,01049,AL,AL | DEKALB
25,Elmore,Alabama,01051,AL,AL | ELMORE
26,Escambia,Alabama,01053,AL,AL | ESCAMBIA
27,Etowah,Alabama,01055,AL,AL | ETOWAH
28,Fayette,Alabama,01057,AL,AL | FAYETTE
29,Franklin,Alabama,01059,AL,AL | FRANKLIN
30,Geneva,Alabama,01061,AL,AL | GENEVA
31,Greene,Alabama,01063,AL,AL | GREENE
32,Hale,Alabama,01065,AL,AL | HALE
33,Henry,Alabama,01067,AL,AL | HENRY
34,Houston,Alabama,01069,AL,AL | HOUSTON
35,Jackson,Alabama,01071,AL,AL | JACKSON
36,Jefferson,Alabama,01073,AL,AL | JEFFERSON
37,Lamar,Alabama,01075,AL,AL | LAMAR
38,Lauderdale,Alabama,01077,AL,AL | LAUDERDALE
39,Lawrence,Alabama,01079,AL,AL | LAWRENCE
40,Lee,Alabama,01081,AL,AL | LEE
41,Limestone,Alabama,01083,AL,AL | LIMESTONE
42,Lowndes,Alabama,01085,AL,AL | LOWNDES
43,Macon,Alabama,01087,AL,AL | MACON
44,Madison,Alabama,01089,AL,AL | MADISON
45,Marengo,Alabama,01091,AL,AL | MARENGO
46,Marion,Alabama,01093,AL,AL | MARION
47,Marshall,Alabama,01095,AL,AL | MARSHALL
48,Mobile,Alabama,01097,AL,AL | MOBILE
49,Monroe,Alabama,01099,AL,AL | MONROE
50,Montgomery,Alabama,01101,AL,AL | MONTGOMERY
51,Morgan,Alabama,01103,AL,AL | MORGAN
52,Perry,Alabama,01105,AL,AL | PERRY
53,Pickens,Alabama,01107,AL,AL | PICKENS
54,Pike,Alabama,01109,AL,AL | PIKE
55,Randolph,Alabama,01111,AL,AL | RANDOLPH
56,Russell,Alabama,01113,AL,AL | RUSSELL
57,St. Clair,Alabama,01115,AL,AL | ST. CLAIR
58,Shelby,Alabama,01117,AL,AL | SHELBY
59,Sumter,Alabama,01119,AL,AL | SUMTER
60,Talladega,Alabama,01121,AL,AL | TALLADEGA
61,Tallapoosa,Alabama,01123,AL,AL | TALLAPOOSA
62,Tuscaloosa,Alabama,01125,AL,AL | TUSCALOOSA
63,Walker,Alabama,01127,AL,AL | WALKER
64,Washington,Alabama,01129,AL,AL | WASHINGTON
65,Wilcox,Alabama,01131,AL,AL | WILCOX
66,Winston,Alabama,01133,AL,AL | WINSTON
67,Aleutians East Borough,Alaska,02013,AK,AK | ALEUTIANS EAST BOROUGH
68,Aleutians West Census Area,Alaska,02016,AK,AK | ALEUTIANS WEST CENSUS AREA
69,Anchorage Municipality,Alaska,02020,AK,AK | ANCHORAGE MUNICIPALITY
70,Bethel Census Area,Alaska,02050,AK,AK | BETHEL CENSUS AREA
71,Bristol Bay Borough,Alaska,02060,AK,AK | BRISTOL BAY BOROUGH
72,Chugach Census Area,Alaska,02063,AK,AK | CHUGACH CENSUS AREA
73,Copper River Census Area,Alaska,02066,AK,AK | COPPER RIVER CENSUS AREA
74,Denali Borough,Alaska,02068,AK,AK | DENALI BOROUGH
75,Dillingham Census Area,Alaska,02070,AK,AK | DILLINGHAM CENSUS AREA
76,Fairbanks North Star Borough,Alaska,02090,AK,AK | FAIRBANKS NORTH STAR BOROUGH
77,Haines Borough,Alaska,02100,AK,AK | HAINES BOROUGH
