,2020_earlyPop,2020_pop,2021_pop,2022_pop,county,state,CountyFIPS,StateAbbr
0,58802.0,58902.0,59210.0,59759.0,Autauga,Alabama,01001,AL
1,231761.0,233219.0,239361.0,246435.0,Baldwin,Alabama,01003,AL
2,25224.0,24960.0,24539.0,24706.0,Barbour,Alabama,01005,AL
3,22300.0,22183.0,22370.0,22005.0,Bibb,Alabama,01007,AL
4,59130.0,59102.0,59085.0,59512.0,Blount,Alabama,01009,AL
5,10362.0,10296.0,10280.0,10202.0,Bullock,Alabama,01011,AL
6,19055.0,19031.0,18855.0,18650.0,Butler,Alabama,01013,AL
7,116444.0,116239.0,115677.0,115788.0,Calhoun,Alabama,01015,AL
8,34774.0,34645.0,34446.0,34088.0,Chambers,Alabama,01017,AL
9,24979.0,24972.0,25026.0,25302.0,Cherokee,Alabama,01019,AL
10,45009.0,45051.0,45259.0,45884.0,Chilton,Alabama,01021,AL
11,12663.0,12619.0,12549.0,12439.0,Choctaw,Alabama,01023,AL
12,23087.0,22981.0,22715.0,22515.0,Clarke,Alabama,01025,AL
13,14237.0,14211.0,14190.0,14198.0,Clay,Alabama,01027,AL
14,15057.0,15063.0,15148.0,15346.0,Cleburne,Alabama,01029,AL
15,53460.0,53547.0,54171.0,54805.0,Coffee,Alabama,01031,AL
16,57232.0,57299.0,57619.0,58033.0,Colbert,Alabama,01033,AL
17,11597.0,11553.0,11320.0,11206.0,Conecuh,Alabama,01035,AL
18,10382.0,10341.0,10366.0,10166.0,Coosa,Alabama,01037,AL
19,37567.0,37507.0,37542.0,37602.0,Covington,Alabama,01039,AL
20,13197.0,13165.0,13056.0,13025.0,Crenshaw,Alabama,01041,AL
21,87857.0,88131.0,89618.0,90665.0,Cullman,Alabama,01043,AL
22,49319.0,49253.0,49412.0,49544.0,Dale,Alabama,01045,AL
23,38463.0,38174.0,37565.0,36767.0,Dallas,Alabama,01047,AL
24,71611.0,71648.0,71829.0,71998.0,DeKalb,Alabama,01049,AL
25,87974.0,87853.0,88737.0,89563.0,Elmore,Alabama,01051,AL
26,36767.0,36680.0,36658.0,36666.0,Escambia,Alabama,01053,AL
27,103441.0,103447.0,103139.0,103088.0,Etowah,Alabama,01055,AL
28,16326.0,16330.0,16155.0,16118.0,Fayette,Alabama,01057,AL
29,32113.0,32075.0,31996.0,31932.0,Franklin,Alabama,01059,AL
30,26660.0,26696.0,26667.0,26783.0,Geneva,Alabama,01061,AL
31,7734.0,7702.0,7592.0,7422.0,Greene,Alabama,01063,AL
32,14786.0,14768.0,14737.0,14595.0,Hale,Alabama,01065,AL
33,17148.0,17175.0,17434.0,17655.0,Henry,Alabama,01067,AL
34,107204.0,107286.0,107453.0,108079.0,Houston,Alabama,01069,AL
35,52582.0,52545.0,52694.0,52891.0,Jackson,Alabama,01071,AL
36,674355.0,674675.0,669997.0,665409.0,Jefferson,Alabama,01073,AL
