,location_key,county,cumulative_confirmed,cumulative_deceased,2020_earlyPop,2020_pop,2021_pop,2022_pop,state,cumulative_percentage,dead_percentage
0,AK,2013,1101.0,3.0,,,,,,,
1,AK,2016,1685.0,1.0,,,,,,,
2,AK,2020,105418.0,526.0,,,,,,,
3,AK,2050,10362.0,41.0,,,,,,,
4,AK,2068,424.0,1.0,,,,,,,
5,AK,2070,1932.0,11.0,,,,,,,
6,AK,2090,27763.0,142.0,,,,,,,
7,AK,2100,624.0,1.0,,,,,,,
8,AK,2110,8798.0,19.0,,,,,,,
9,AK,2122,18091.0,101.0,,,,,,,
10,AK,2130,4154.0,17.0,,,,,,,
11,AK,2150,4992.0,12.0,,,,,,,
12,AK,2158,4084.0,14.0,,,,,,,
13,AK,2170,34981.0,236.0,,,,,,,
14,AK,2180,6245.0,5.0,,,,,,,
15,AK,2185,4468.0,11.0,,,,,,,
16,AK,2188,4837.0,13.0,,,,,,,
17,AK,2195,785.0,4.0,,,,,,,
18,AK,2198,1454.0,8.0,,,,,,,
19,AK,2220,2681.0,6.0,,,,,,,
20,AK,2230,187.0,0.0,,,,,,,
21,AK,2240,2052.0,20.0,,,,,,,
22,AK,2261,2948.0,19.0,,,,,,,
23,AK,2275,579.0,1.0,,,,,,,
24,AK,2290,1438.0,10.0,,,,,,,
25,AL,1001,15863.0,216.0,58802.0,58902.0,59210.0,59759.0,Alabama,0.2654495557154571,0.003614518315232852
26,AL,1003,55862.0,681.0,231761.0,233219.0,239361.0,246435.0,Alabama,0.22668046340820094,0.002763406172012904
27,AL,1005,5681.0,98.0,25224.0,24960.0,24539.0,24706.0,Alabama,0.229944143123128,0.0039666477778677245
28,AL,1007,6457.0,105.0,22300.0,22183.0,22370.0,22005.0,Alabama,0.29343331061122474,0.004771642808452625
29,AL,1009,15005.0,243.0,59130.0,59102.0,59085.0,59512.0,Alabama,0.2521340233902406,0.004083210108885603
30,AL,1011,2319.0,54.0,10362.0,10296.0,10280.0,10202.0,Alabama,0.22730837090766517,0.005293079788276808
31,AL,1013,5068.0,129.0,19055.0,19031.0,18855.0,18650.0,Alabama,0.2717426273458445,0.0069168900804289545
32,AL,1015,32453.0,627.0,116444.0,116239.0,115677.0,115788.0,Alabama,0.2802794762842436,0.00541506891905897
33,AL,1017,8508.0,162.0,34774.0,34645.0,34446.0,34088.0,Alabama,0.24958929828678714,0.004752405538605961
34,AL,1019,5134.0,86.0,24979.0,24972.0,25026.0,25302.0,Alabama,0.20290886095960795,0.0033989407951940556
35,AL,1021,11131.0,207.0,45009.0,45051.0,45259.0,45884.0,Alabama,0.24259000958939936,0.004511376514689217
36,AL,1023,2051.0,36.0,12663.0,12619.0,12549.0,12439.0,Alabama,0.16488463702870004,0.002894123321810435
37,AL,1025,7154.0,101.0,23087.0,22981.0,22715.0,22515.0,Alabama,0.3177437264046191,0.004485898290028869
38,AL,1027,4099.0,82.0,14237.0,14211.0,14190.0,14198.0,Alabama,0.2887026341738273,0.005775461332582054
39,AL,1029,3566.0,69.0,15057.0,15063.0,15148.0,15346.0,Alabama,0.23237325687475563,0.004496285677049394
40,AL,1031,13643.0,231.0,53460.0,53547.0,54171.0,54805.0,Alabama,0.24893714077182738,0.004214943891980659
41,AL,1033,16356.0,261.0,57232.0,57299.0,57619.0,58033.0,Alabama,0.2818396429617631,0.004497441111091965
42,AL,1035,2869.0,71.0,11597.0,11553.0,11320.0,11206.0,Alabama,0.25602355880778155,0.006335891486703551
43,AL,1037,2977.0,58.0,10382.0,10341.0,10366.0,10166.0,Alabama,0.2928388746803069,0.005705292150304938
44,AL,1039,9355.0,232.0,37567.0,37507.0,37542.0,37602.0,Alabama,0.24878995798095846,0.006169884580607414
45,AL,1041,3834.0,100.0,13197.0,13165.0,13056.0,13025.0,Alabama,0.2943570057581574,0.007677543186180422
46,AL,1043,24649.0,367.0,87857.0,88131.0,89618.0,90665.0,Alabama,0.27186896817956213,0.004047868526994981
47,AL,1045,12947.0,231.0,49319.0,49253.0,49412.0,49544.0,Alabama,0.26132326820603907,0.004662522202486678
48,AL,1047,8429.0,244.0,38463.0,38174.0,37565.0,36767.0,Alabama,0.22925449451954197,0.006636385889520494
49,AL,1049,18799.0,330.0,71611.0,71648.0,71829.0,71998.0,Alabama,0.261104475124309,0.004583460651684769
50,AL,1051,23420.0,347.0,87974.0,87853.0,88737.0,89563.0,Alabama,0.26149191072206157,0.003874367763473756
51,AL,1053,10081.0,171.0,36767.0,36680.0,36658.0,36666.0,Alabama,0.27494136257022855,0.004663721158566519
52,AL,1055,28780.0,651.0,103441.0,103447.0,103139.0,103088.0,Alabama,0.27917895390346115,0.006314993015675927
53,AL,1057,4986.0,96.0,16326.0,16330.0,16155.0,16118.0,Alabama,0.30934359101625514,0.005956073954584936
54,AL,1059,9903.0,139.0,32113.0,32075.0,31996.0,31932.0,Alabama,0.31012777151446824,0.004353000125266191
55,AL,1061,6494.0,164.0,26660.0,26696.0,26667.0,26783.0,Alabama,0.24246723667998357,0.006123287159765523
56,AL,1063,1877.0,49.0,7734.0,7702.0,7592.0,7422.0,Alabama,0.2528967933171652,0.006601994071678793
57,AL,1065,4741.0,106.0,14786.0,14768.0,14737.0,14595.0,Alabama,0.3248372730387119,0.007262761219595752
58,AL,1067,4584.0,76.0,17148.0,17175.0,17434.0,17655.0,Alabama,0.25964316057774,0.004304729538374398
59,AL,1069,25800.0,506.0,107204.0,107286.0,107453.0,108079.0,Alabama,0.23871427381822555,0.004681760564031866
60,AL,1071,15049.0,241.0,52582.0,52545.0,52694.0,52891.0,Alabama,0.2845285587340001,0.004556540810345806
61,AL,1073,185930.0,2373.0,674355.0,674675.0,669997.0,665409.0,Alabama,0.27942212984795817,0.0035662276885344204
62,AL,1075,3745.0,65.0,13976.0,13956.0,13740.0,13705.0,Alabama,0.273257935060197,0.0047427946005107625
63,AL,1077,24193.0,397.0,93565.0,94025.0,94862.0,95878.0,Alabama,0.25233108742360083,0.0041406787792820044
64,AL,1079,7682.0,160.0,33077.0,33089.0,33123.0,33214.0,Alabama,0.2312880110796652,0.004817245739748299
65,AL,1081,37888.0,341.0,174244.0,174742.0,177655.0,180773.0,Alabama,0.20958882133946993,0.0018863436464516272
66,AL,1083,25065.0,293.0,103563.0,104190.0,107381.0,110900.0,Alabama,0.22601442741208297,0.002642019837691614
67,AL,1085,2628.0,77.0,10310.0,10273.0,9926.0,9777.0,Alabama,0.26879410862227676,0.00787562647028741
68,AL,1087,3885.0,85.0,19534.0,19473.0,18906.0,18516.0,Alabama,0.20981853532080363,0.004590624324908188
69,AL,1089,90395.0,968.0,388160.0,390502.0,396593.0,403565.0,Alabama,0.2239911786205444,0.0023986222789389566
70,AL,1091,5196.0,108.0,19324.0,19266.0,18961.0,18745.0,Alabama,0.2771939183782342,0.0057615364097092555
71,AL,1093,8157.0,152.0,29341.0,29166.0,29006.0,29156.0,Alabama,0.27977088763890795,0.005213335162573741
72,AL,1095,27438.0,394.0,97611.0,97696.0,98316.0,99423.0,Alabama,0.2759723605202016,0.003962865735292639
73,AL,1097,113300.0,1653.0,414812.0,414353.0,413017.0,411411.0,Alabama,0.27539370605064034,0.004017879930288689
74,AL,1099,5276.0,80.0,19770.0,19704.0,19557.0,19404.0,Alabama,0.27190270047412907,0.0041228612657184084
75,AL,1101,55316.0,948.0,228948.0,228322.0,226953.0,226361.0,Alabama,0.24437071757060624,0.0041880005831393214
76,AL,1103,36167.0,518.0,123421.0,123288.0,123403.0,124211.0,Alabama,0.291173889591099,0.004170323079276393
