,state,state_po,district,county_fips,party_simplified,votes
0,ALABAMA,AL,1,1003.0,DEMOCRAT,24326
1,ALABAMA,AL,1,1003.0,REPUBLICAN,83964
2,ALABAMA,AL,1,1025.0,DEMOCRAT,1408
3,ALABAMA,AL,1,1025.0,REPUBLICAN,2978
4,ALABAMA,AL,1,1053.0,DEMOCRAT,4983
5,ALABAMA,AL,1,1053.0,REPUBLICAN,10687
6,ALABAMA,AL,1,1097.0,DEMOCRAT,79335
7,ALABAMA,AL,1,1097.0,REPUBLICAN,101862
8,ALABAMA,AL,1,1099.0,DEMOCRAT,4519
9,ALABAMA,AL,1,1099.0,REPUBLICAN,6044
10,ALABAMA,AL,1,1129.0,DEMOCRAT,2378
11,ALABAMA,AL,1,1129.0,REPUBLICAN,6290
12,ALABAMA,AL,2,1001.0,DEMOCRAT,7357
13,ALABAMA,AL,2,1001.0,REPUBLICAN,20081
14,ALABAMA,AL,2,1005.0,DEMOCRAT,4691
15,ALABAMA,AL,2,1005.0,REPUBLICAN,5643
16,ALABAMA,AL,2,1011.0,DEMOCRAT,3348
17,ALABAMA,AL,2,1011.0,REPUBLICAN,1150
18,ALABAMA,AL,2,1013.0,DEMOCRAT,3893
19,ALABAMA,AL,2,1013.0,REPUBLICAN,5437
20,ALABAMA,AL,2,1031.0,DEMOCRAT,4875
21,ALABAMA,AL,2,1031.0,REPUBLICAN,17211
22,ALABAMA,AL,2,1035.0,DEMOCRAT,2987
23,ALABAMA,AL,2,1035.0,REPUBLICAN,3235
24,ALABAMA,AL,2,1039.0,DEMOCRAT,2708
25,ALABAMA,AL,2,1039.0,REPUBLICAN,14437
26,ALABAMA,AL,2,1041.0,DEMOCRAT,1689
27,ALABAMA,AL,2,1041.0,REPUBLICAN,4816
28,ALABAMA,AL,2,1045.0,DEMOCRAT,5114
29,ALABAMA,AL,2,1045.0,REPUBLICAN,14361
30,ALABAMA,AL,2,1051.0,DEMOCRAT,10029
31,ALABAMA,AL,2,1051.0,REPUBLICAN,30572
32,ALABAMA,AL,2,1061.0,DEMOCRAT,1599
33,ALABAMA,AL,2,1061.0,REPUBLICAN,10837
34,ALABAMA,AL,2,1067.0,DEMOCRAT,2527
35,ALABAMA,AL,2,1067.0,REPUBLICAN,6624
36,ALABAMA,AL,2,1069.0,DEMOCRAT,12748
37,ALABAMA,AL,2,1069.0,REPUBLICAN,32937
38,ALABAMA,AL,2,1101.0,DEMOCRAT,36253
39,ALABAMA,AL,2,1101.0,REPUBLICAN,22471
40,ALABAMA,AL,2,1109.0,DEMOCRAT,5468
41,ALABAMA,AL,2,1109.0,REPUBLICAN,8184
42,ALABAMA,AL,3,1015.0,DEMOCRAT,14389
43,ALABAMA,AL,3,1015.0,REPUBLICAN,36137
44,ALABAMA,AL,3,1017.0,DEMOCRAT,6091
45,ALABAMA,AL,3,1017.0,REPUBLICAN,8989
46,ALABAMA,AL,3,1019.0,DEMOCRAT,1399
47,ALABAMA,AL,3,1019.0,REPUBLICAN,9964
48,ALABAMA,AL,3,1027.0,DEMOCRAT,1148
49,ALABAMA,AL,3,1027.0,REPUBLICAN,5710
50,ALABAMA,AL,3,1029.0,DEMOCRAT,645
51,ALABAMA,AL,3,1029.0,REPUBLICAN,6491
52,ALABAMA,AL,3,1081.0,DEMOCRAT,26320
53,ALABAMA,AL,3,1081.0,REPUBLICAN,44235
54,ALABAMA,AL,3,1087.0,DEMOCRAT,6810
55,ALABAMA,AL,3,1087.0,REPUBLICAN,1798
56,ALABAMA,AL,3,1101.0,DEMOCRAT,9031
57,ALABAMA,AL,3,1101.0,REPUBLICAN,10955
58,ALABAMA,AL,3,1111.0,DEMOCRAT,2134
59,ALABAMA,AL,3,1111.0,REPUBLICAN,8516
60,ALABAMA,AL,3,1113.0,DEMOCRAT,10916
61,ALABAMA,AL,3,1113.0,REPUBLICAN,10171
62,ALABAMA,AL,3,1115.0,DEMOCRAT,7451
63,ALABAMA,AL,3,1115.0,REPUBLICAN,36478
64,ALABAMA,AL,3,1121.0,DEMOCRAT,12709
65,ALABAMA,AL,3,1121.0,REPUBLICAN,22727
66,ALABAMA,AL,3,1123.0,DEMOCRAT,5552
67,ALABAMA,AL,3,1123.0,REPUBLICAN,15213
68,ALABAMA,AL,4,1009.0,DEMOCRAT,189
69,ALABAMA,AL,4,1009.0,REPUBLICAN,1930
70,ALABAMA,AL,4,1019.0,DEMOCRAT,96
71,ALABAMA,AL,4,1019.0,REPUBLICAN,705
72,ALABAMA,AL,4,1033.0,DEMOCRAT,8143
73,ALABAMA,AL,4,1033.0,REPUBLICAN,19326
74,ALABAMA,AL,4,1043.0,DEMOCRAT,4359
75,ALABAMA,AL,4,1043.0,REPUBLICAN,37133
76,ALABAMA,AL,4,1049.0,DEMOCRAT,4453
77,ALABAMA,AL,4,1049.0,REPUBLICAN,24460
78,ALABAMA,AL,4,1055.0,DEMOCRAT,11369
79,ALABAMA,AL,4,1055.0,REPUBLICAN,35914
80,ALABAMA,AL,4,1057.0,DEMOCRAT,1360
81,ALABAMA,AL,4,1057.0,REPUBLICAN,7302
82,ALABAMA,AL,4,1059.0,DEMOCRAT,2127
83,ALABAMA,AL,4,1059.0,REPUBLICAN,10253
84,ALABAMA,AL,4,1071.0,DEMOCRAT,8
85,ALABAMA,AL,4,1071.0,REPUBLICAN,80
86,ALABAMA,AL,4,1075.0,DEMOCRAT,943
87,ALABAMA,AL,4,1075.0,REPUBLICAN,6168
88,ALABAMA,AL,4,1079.0,DEMOCRAT,3471
89,ALABAMA,AL,4,1079.0,REPUBLICAN,12287
90,ALABAMA,AL,4,1093.0,DEMOCRAT,1462
91,ALABAMA,AL,4,1093.0,REPUBLICAN,12246
92,ALABAMA,AL,4,1095.0,DEMOCRAT,5642
93,ALABAMA,AL,4,1095.0,REPUBLICAN,33574
94,ALABAMA,AL,4,1125.0,DEMOCRAT,6877
95,ALABAMA,AL,4,1125.0,REPUBLICAN,23835
96,ALABAMA,AL,4,1127.0,DEMOCRAT,4755
97,ALABAMA,AL,4,1127.0,REPUBLICAN,26147
98,ALABAMA,AL,4,1133.0,DEMOCRAT,983
99,ALABAMA,AL,4,1133.0,REPUBLICAN,10193
100,ALABAMA,AL,5,1071.0,REPUBLICAN,19420
101,ALABAMA,AL,5,1077.0,REPUBLICAN,33023
102,ALABAMA,AL,5,1083.0,REPUBLICAN,37371
103,ALABAMA,AL,5,1089.0,REPUBLICAN,121634
104,ALABAMA,AL,5,1103.0,REPUBLICAN,41646
105,ALABAMA,AL,6,1007.0,REPUBLICAN,7744
106,ALABAMA,AL,6,1009.0,REPUBLICAN,22877
107,ALABAMA,AL,6,1021.0,REPUBLICAN,16111
108,ALABAMA,AL,6,1037.0,REPUBLICAN,3774
109,ALABAMA,AL,6,1073.0,REPUBLICAN,135207
110,ALABAMA,AL,6,1117.0,REPUBLICAN,88447
111,ALABAMA,AL,7,1023.0,DEMOCRAT,3894
112,ALABAMA,AL,7,1025.0,DEMOCRAT,4855
113,ALABAMA,AL,7,1047.0,DEMOCRAT,13294
114,ALABAMA,AL,7,1063.0,DEMOCRAT,4033
115,ALABAMA,AL,7,1065.0,DEMOCRAT,5353
116,ALABAMA,AL,7,1073.0,DEMOCRAT,110212
117,ALABAMA,AL,7,1085.0,DEMOCRAT,5238
118,ALABAMA,AL,7,1091.0,DEMOCRAT,6399
119,ALABAMA,AL,7,1101.0,DEMOCRAT,18252
120,ALABAMA,AL,7,1105.0,DEMOCRAT,4119
121,ALABAMA,AL,7,1107.0,DEMOCRAT,5070
122,ALABAMA,AL,7,1119.0,DEMOCRAT,5037
123,ALABAMA,AL,7,1125.0,DEMOCRAT,35642
124,ALABAMA,AL,7,1131.0,DEMOCRAT,4344
125,ALASKA,AK,0,nan,DEMOCRAT,159856
126,ALASKA,AK,0,nan,REPUBLICAN,192126
127,ARIZONA,AZ,1,4001.0,DEMOCRAT,23605
128,ARIZONA,AZ,1,4001.0,REPUBLICAN,11110
129,ARIZONA,AZ,1,4005.0,DEMOCRAT,44842
130,ARIZONA,AZ,1,4005.0,REPUBLICAN,26800
131,ARIZONA,AZ,1,4007.0,DEMOCRAT,4902
132,ARIZONA,AZ,1,4007.0,REPUBLICAN,4427
133,ARIZONA,AZ,1,4009.0,DEMOCRAT,4436
134,ARIZONA,AZ,1,4009.0,REPUBLICAN,10153
135,ARIZONA,AZ,1,4011.0,DEMOCRAT,1380
136,ARIZONA,AZ,1,4011.0,REPUBLICAN,2226
137,ARIZONA,AZ,1,4013.0,DEMOCRAT,554
138,ARIZONA,AZ,1,4013.0,REPUBLICAN,93
139,ARIZONA,AZ,1,4015.0,DEMOCRAT,265
140,ARIZONA,AZ,1,4015.0,REPUBLICAN,116
141,ARIZONA,AZ,1,4017.0,DEMOCRAT,24205
142,ARIZONA,AZ,1,4017.0,REPUBLICAN,26371
