,state,state_po,county_fips,party_simplified,votes,totalVotes_x,totalStateVotes,totalVotes_y,votePercentage
0,ALABAMA,AL,1001.0,DEMOCRAT,7357,27438,27438,54876,0.2681317880311976
1,ALABAMA,AL,1001.0,REPUBLICAN,20081,27438,27438,54876,0.7318682119688024
2,ALABAMA,AL,1003.0,DEMOCRAT,24326,108290,108290,216580,0.22463754732662294
3,ALABAMA,AL,1003.0,REPUBLICAN,83964,108290,108290,216580,0.775362452673377
4,ALABAMA,AL,1005.0,DEMOCRAT,4691,10334,10334,20668,0.45393845558351076
5,ALABAMA,AL,1005.0,REPUBLICAN,5643,10334,10334,20668,0.5460615444164892
6,ALABAMA,AL,1007.0,REPUBLICAN,7744,7744,7744,7744,1.0
7,ALABAMA,AL,1009.0,DEMOCRAT,189,2119,24996,27115,0.007561209793566971
8,ALABAMA,AL,1009.0,REPUBLICAN,24807,24996,24996,27115,0.992438790206433
9,ALABAMA,AL,1011.0,DEMOCRAT,3348,4498,4498,8996,0.7443308136949756
10,ALABAMA,AL,1011.0,REPUBLICAN,1150,4498,4498,8996,0.25566918630502444
11,ALABAMA,AL,1013.0,DEMOCRAT,3893,9330,9330,18660,0.4172561629153269
12,ALABAMA,AL,1013.0,REPUBLICAN,5437,9330,9330,18660,0.5827438370846731
13,ALABAMA,AL,1015.0,DEMOCRAT,14389,50526,50526,101052,0.28478407156711394
14,ALABAMA,AL,1015.0,REPUBLICAN,36137,50526,50526,101052,0.7152159284328861
15,ALABAMA,AL,1017.0,DEMOCRAT,6091,15080,15080,30160,0.40391246684350135
16,ALABAMA,AL,1017.0,REPUBLICAN,8989,15080,15080,30160,0.5960875331564987
17,ALABAMA,AL,1019.0,DEMOCRAT,1495,12164,12164,24328,0.12290365011509372
18,ALABAMA,AL,1019.0,REPUBLICAN,10669,12164,12164,24328,0.8770963498849063
19,ALABAMA,AL,1021.0,REPUBLICAN,16111,16111,16111,16111,1.0
20,ALABAMA,AL,1023.0,DEMOCRAT,3894,3894,3894,3894,1.0
21,ALABAMA,AL,1025.0,DEMOCRAT,6263,9241,9241,13627,0.6777405042744292
22,ALABAMA,AL,1025.0,REPUBLICAN,2978,4386,9241,13627,0.32225949572557083
23,ALABAMA,AL,1027.0,DEMOCRAT,1148,6858,6858,13716,0.1673957421988918
24,ALABAMA,AL,1027.0,REPUBLICAN,5710,6858,6858,13716,0.8326042578011082
25,ALABAMA,AL,1029.0,DEMOCRAT,645,7136,7136,14272,0.09038677130044843
26,ALABAMA,AL,1029.0,REPUBLICAN,6491,7136,7136,14272,0.9096132286995515
27,ALABAMA,AL,1031.0,DEMOCRAT,4875,22086,22086,44172,0.22072806302635153
28,ALABAMA,AL,1031.0,REPUBLICAN,17211,22086,22086,44172,0.7792719369736485
29,ALABAMA,AL,1033.0,DEMOCRAT,8143,27469,27469,54938,0.29644326331500964
