,state,state_po,party_simplified,votes,county_fips,jurisdiction_fips,year,special,writein,state_fips,state_cen,state_ic,readme_check,magnitude,totalVotes,totalStateVotes,votePercentage
0,ALABAMA,AL,DEMOCRAT,608809,2205732.0,2205732.0,4161200,0,0,2060,129780,84460,0,2060,1497567,2024821,0.3006729977612836
1,ALABAMA,AL,REPUBLICAN,1416012,2166659.0,2166659.0,4094540,0,0,2027,127701,83107,0,2027,1799079,2024821,0.6993270022387164
2,ALASKA,AK,DEMOCRAT,159856,0.0,1173678.0,1171600,0,0,1160,54520,46980,0,580,351982,351982,0.4541595877061895
3,ALASKA,AK,REPUBLICAN,192126,0.0,1173678.0,1171600,0,0,1160,54520,46980,0,580,351982,351982,0.5458404122938105
4,ARIZONA,AZ,DEMOCRAT,1629318,17931696.0,17931696.0,9023340,0,0,17868,384162,272487,0,4467,3267834,3267834,0.4985926457708684
5,ARIZONA,AZ,REPUBLICAN,1638516,17931696.0,17931696.0,9023340,0,0,17868,384162,272487,0,4467,3267834,3267834,0.5014073542291316
6,ARKANSAS,AR,DEMOCRAT,330485,9126577.0,9126577.0,3625900,0,0,8975,127445,75390,0,1795,941800,1179396,0.28021546622169313
7,ARKANSAS,AR,LIBERTARIAN,20645,7123599.0,7123599.0,2834060,0,0,7015,99613,58926,0,1403,609297,1179396,0.01750472275639395
8,ARKANSAS,AR,REPUBLICAN,828266,13083856.0,13083856.0,5203520,0,0,12880,182896,108192,0,2576,1179396,1179396,0.702279811021913
9,CALIFORNIA,CA,DEMOCRAT,11084627,283382002.0,283382002.0,94503680,0,0,280704,4350912,3321664,46784,46784,16725395,16725395,0.6627423149049694
10,CALIFORNIA,CA,REPUBLICAN,5640768,228570738.0,228570738.0,76226720,0,0,226416,3509448,2679256,37736,37736,14804916,16725395,0.3372576850950306
11,COLORADO,CO,DEMOCRAT,1679085,28965740.0,28965740.0,7274020,0,396,28808,302484,223262,0,3601,3164983,3164983,0.5305194372292047
12,COLORADO,CO,LIBERTARIAN,79100,25784352.0,25784352.0,6474100,0,0,25640,269220,198710,0,3205,3164983,3164983,0.02499223534533993
13,COLORADO,CO,NONPARTISAN,3708,2823647.0,2823647.0,709020,0,0,2808,29484,21762,0,351,432407,3164983,0.0011715702738371739
14,COLORADO,CO,OTHER,24842,29261717.0,29261717.0,7348760,0,0,29104,305592,225556,0,3638,3164983,3164983,0.007849015302767819
15,COLORADO,CO,REPUBLICAN,1378248,25784352.0,25784352.0,6474100,0,0,25640,269220,198710,0,3205,3164983,3164983,0.4354677418488504
16,CONNECTICUT,CT,DEMOCRAT,1022660,13346566.0,1334727662650.0,2993640,0,0,13338,23712,1482,864,1482,1772740,1772740,0.5768809864954816
17,CONNECTICUT,CT,LIBERTARIAN,3901,2451036.0,245116881840.0,549440,0,0,2448,4352,272,112,272,367172,1772740,0.002200548303755768
18,CONNECTICUT,CT,OTHER,69547,27361570.0,2736304083310.0,6136760,0,0,27342,48608,3038,1772,3038,1772740,1772740,0.039231359364599434
19,CONNECTICUT,CT,REPUBLICAN,676632,13346566.0,1334727662650.0,2993640,0,0,13338,23712,1482,864,1482,1772740,1772740,0.3816871058361632
20,DELAWARE,DE,DEMOCRAT,281382,8722552.0,8722552.0,1761440,0,0,8720,44472,9592,0,872,488270,488270,0.5762836135744568
21,DELAWARE,DE,LIBERTARIAN,3814,8722552.0,8722552.0,1761440,0,0,8720,44472,9592,0,872,488270,488270,0.007811251971245417
22,DELAWARE,DE,OTHER,6682,8722552.0,8722552.0,1761440,0,0,8720,44472,9592,0,872,488270,488270,0.013685051303582035
23,DELAWARE,DE,REPUBLICAN,196392,8722552.0,8722552.0,1761440,0,0,8720,44472,9592,0,872,488270,488270,0.4022200831507158
24,DISTRICT OF COLUMBIA,DC,DEMOCRAT,281831,1584144.0,1584144.0,290880,0,0,1584,7632,7920,0,144,324324,324324,0.8689797856464523
25,DISTRICT OF COLUMBIA,DC,LIBERTARIAN,9678,1584144.0,1584144.0,290880,0,0,1584,7632,7920,0,144,324324,324324,0.02984052984052984
26,DISTRICT OF COLUMBIA,DC,OTHER,32815,9504864.0,9504864.0,1745280,0,0,9504,45792,47520,0,864,324324,324324,0.10117968451301784
27,FLORIDA,FL,DEMOCRAT,4942290,68751945.0,68751945.0,11503900,0,0,68340,336005,244885,0,5695,10106100,10411437,0.4746981612624655
28,FLORIDA,FL,REPUBLICAN,5469147,72358734.0,72358734.0,12107880,0,0,71928,353646,257742,0,5994,10411437,10411437,0.5253018387375346
29,GEORGIA,GA,DEMOCRAT,2393089,141578892.0,141578892.0,21775600,0,0,140140,625240,474320,0,10780,4883485,4883485,0.4900371353654204
30,GEORGIA,GA,REPUBLICAN,2490396,141578892.0,141578892.0,21775600,0,0,140140,625240,474320,0,10780,4883485,4883485,0.5099628646345796
31,HAWAII,HI,DEMOCRAT,354762,11252814.0,11252814.0,1515000,0,0,11250,71250,61500,0,750,526535,526535,0.6737671759712079
32,HAWAII,HI,LIBERTARIAN,6785,6076779.0,6076779.0,818100,0,0,6075,38475,33210,0,405,272102,526535,0.012886132925636472
33,HAWAII,HI,OTHER,9773,18230337.0,18230337.0,2454300,0,0,18225,115425,99630,0,1215,272102,526535,0.018560969356263116
34,HAWAII,HI,REPUBLICAN,155215,11252814.0,11252814.0,1515000,0,0,11250,71250,61500,0,750,526535,526535,0.29478572174689244
35,IDAHO,ID,DEMOCRAT,255531,15619210.0,15619210.0,1967480,0,0,15584,79868,61362,0,974,849909,849909,0.30065689385569516
36,IDAHO,ID,LIBERTARIAN,24393,15619210.0,15619210.0,1967480,0,0,15584,79868,61362,0,974,849909,849909,0.02870071972411164
37,IDAHO,ID,OTHER,8580,15619210.0,15619210.0,1967480,0,471,15584,79868,61362,0,974,849909,849909,0.010095198427125727
38,IDAHO,ID,REPUBLICAN,561405,15619210.0,15619210.0,1967480,0,0,15584,79868,61362,0,974,849909,849909,0.6605471879930674
39,ILLINOIS,IL,DEMOCRAT,3355487,177187093.0,177187093.0,20957500,0,0,176375,342375,217875,0,10375,5876585,5876585,0.5709926768693042
40,ILLINOIS,IL,LIBERTARIAN,75406,18995138.0,18995138.0,2250280,0,0,18938,36762,23394,0,1114,659325,5876585,0.012831602027367935
41,ILLINOIS,IL,OTHER,28763,19944129.0,19944129.0,2365420,0,0,19907,38643,24591,0,1171,671397,5876585,0.004894509311105004
42,ILLINOIS,IL,REPUBLICAN,2416929,168699717.0,168699717.0,19951540,0,0,167909,325941,207417,0,9877,5622007,5876585,0.4112812117922229
43,INDIANA,IN,DEMOCRAT,906888,65481058.0,65481058.0,7316440,0,0,65196,115904,79684,3622,3622,2126552,2126552,0.42645935768323556
44,INDIANA,IN,LIBERTARIAN,46476,39121537.0,39121537.0,4369260,0,0,38934,69216,47586,2163,2163,1305352,2126552,0.02185509688923666
45,INDIANA,IN,REPUBLICAN,1173188,65481058.0,65481058.0,7316440,0,0,65196,115904,79684,3622,3622,2126552,2126552,0.5516855454275278
46,IOWA,IA,DEMOCRAT,762168,63477394.0,63477394.0,6710440,0,0,63118,139524,102982,0,3322,1636874,1636874,0.46562411034691736
47,IOWA,IA,LIBERTARIAN,15361,14198322.0,14198322.0,1498840,0,0,14098,31164,23002,0,742,447563,1636874,0.009384350903001697
48,IOWA,IA,REPUBLICAN,859345,63477394.0,63477394.0,6710440,0,0,63118,139524,102982,0,3322,1636874,1636874,0.524991538750081
49,KANSAS,KS,DEMOCRAT,557258,66814912.0,66814912.0,6710440,0,0,66440,156134,106304,0,3322,1358953,1358953,0.41006421855649167
50,KANSAS,KS,LIBERTARIAN,25797,28209879.0,28209879.0,2834060,0,0,28060,65941,44896,0,1403,746733,1358953,0.018982996468604876
51,KANSAS,KS,REPUBLICAN,775898,68242097.0,68242097.0,6853860,0,0,67860,159471,108576,0,3393,1358953,1358953,0.5709527849749034
52,KENTUCKY,KY,DEMOCRAT,735210,25375848.0,25375848.0,2428040,0,0,25242,73322,61302,104,1202,2115335,2115335,0.3475619700898439
53,KENTUCKY,KY,LIBERTARIAN,14076,3882124.0,3882124.0,371680,0,0,3864,11224,9384,30,184,738773,2115335,0.006654265163673839
54,KENTUCKY,KY,OTHER,2431,823545.0,823545.0,78780,0,0,819,2379,1989,16,39,360385,2115335,0.0011492269545958441
