state,state_po,district,party_simplified,votes,county_fips,jurisdiction_fips,year,special,writein,state_fips,state_cen,state_ic,readme_check,magnitude
ALABAMA,AL,1,DEMOCRAT,116949,269791.0,269791.0,511060,0,0,253,15939,10373,0,253
ALABAMA,AL,1,REPUBLICAN,211825,269791.0,269791.0,511060,0,0,253,15939,10373,0,253
ALABAMA,AL,2,DEMOCRAT,105286,412426.0,412426.0,791840,0,0,392,24696,16072,0,392
ALABAMA,AL,2,REPUBLICAN,197996,412426.0,412426.0,791840,0,0,392,24696,16072,0,392
ALABAMA,AL,3,DEMOCRAT,104595,374648.0,374648.0,702960,0,0,348,21924,14268,0,348
ALABAMA,AL,3,REPUBLICAN,217384,374648.0,374648.0,702960,0,0,348,21924,14268,0,348
ALABAMA,AL,4,DEMOCRAT,56237,574560.0,574560.0,1082720,0,0,536,33768,21976,0,536
ALABAMA,AL,4,REPUBLICAN,261553,574560.0,574560.0,1082720,0,0,536,33768,21976,0,536
ALABAMA,AL,5,REPUBLICAN,253094,225952.0,225952.0,420160,0,0,208,13104,8528,0,208
ALABAMA,AL,6,REPUBLICAN,274160,309282.0,309282.0,585800,0,0,290,18270,11890,0,290
ALABAMA,AL,7,DEMOCRAT,225742,574307.0,574307.0,1072620,0,0,531,33453,21771,0,531
ALASKA,AK,0,DEMOCRAT,159856,0.0,1173678.0,1171600,0,0,1160,54520,46980,0,580
ALASKA,AK,0,REPUBLICAN,192126,0.0,1173678.0,1171600,0,0,1160,54520,46980,0,580
ARIZONA,AZ,1,DEMOCRAT,188469,3357225.0,3357225.0,1690740,0,0,3348,71982,51057,0,837
ARIZONA,AZ,1,REPUBLICAN,176709,3357225.0,3357225.0,1690740,0,0,3348,71982,51057,0,837
ARIZONA,AZ,2,DEMOCRAT,209945,2348763.0,2348763.0,1181700,0,0,2340,50310,35685,0,585
ARIZONA,AZ,2,REPUBLICAN,170975,2348763.0,2348763.0,1181700,0,0,2340,50310,35685,0,585
ARIZONA,AZ,3,DEMOCRAT,174243,2146290.0,2146290.0,1078680,0,0,2136,45924,32574,0,534
ARIZONA,AZ,3,REPUBLICAN,95594,2146290.0,2146290.0,1078680,0,0,2136,45924,32574,0,534
ARIZONA,AZ,4,DEMOCRAT,120484,1953093.0,1953093.0,981720,0,0,1944,41796,29646,0,486
ARIZONA,AZ,4,REPUBLICAN,278002,1953093.0,1953093.0,981720,0,0,1944,41796,29646,0,486
ARIZONA,AZ,5,DEMOCRAT,183171,1540992.0,1540992.0,775680,0,0,1536,33024,23424,0,384
ARIZONA,AZ,5,REPUBLICAN,262414,1540992.0,1540992.0,775680,0,0,1536,33024,23424,0,384
ARIZONA,AZ,6,DEMOCRAT,199644,1890123.0,1890123.0,951420,0,0,1884,40506,28731,0,471
ARIZONA,AZ,6,REPUBLICAN,217783,1890123.0,1890123.0,951420,0,0,1884,40506,28731,0,471
ARIZONA,AZ,7,DEMOCRAT,165452,1288173.0,1288173.0,648420,0,0,1284,27606,19581,0,321
ARIZONA,AZ,7,REPUBLICAN,50226,1288173.0,1288173.0,648420,0,0,1284,27606,19581,0,321
ARIZONA,AZ,8,DEMOCRAT,170816,1721577.0,1721577.0,866580,0,0,1716,36894,26169,0,429
ARIZONA,AZ,8,REPUBLICAN,251633,1721577.0,1721577.0,866580,0,0,1716,36894,26169,0,429
ARIZONA,AZ,9,DEMOCRAT,217094,1685460.0,1685460.0,848400,0,0,1680,36120,25620,0,420
ARIZONA,AZ,9,REPUBLICAN,135180,1685460.0,1685460.0,848400,0,0,1680,36120,25620,0,420
ARKANSAS,AR,1,REPUBLICAN,237596,3957279.0,3957279.0,1577620,0,0,3905,55451,32802,0,781
ARKANSAS,AR,2,DEMOCRAT,148410,2002978.0,2002978.0,791840,0,0,1960,27832,16464,0,392
ARKANSAS,AR,2,REPUBLICAN,184093,2002978.0,2002978.0,791840,0,0,1960,27832,16464,0,392
ARKANSAS,AR,3,DEMOCRAT,106325,2717086.0,2717086.0,1078680,0,0,2670,37914,22428,0,534
ARKANSAS,AR,3,LIBERTARIAN,12977,2717086.0,2717086.0,1078680,0,0,2670,37914,22428,0,534
ARKANSAS,AR,3,REPUBLICAN,214960,2717086.0,2717086.0,1078680,0,0,2670,37914,22428,0,534
ARKANSAS,AR,4,DEMOCRAT,75750,4406513.0,4406513.0,1755380,0,0,4345,61699,36498,0,869
ARKANSAS,AR,4,LIBERTARIAN,7668,4406513.0,4406513.0,1755380,0,0,4345,61699,36498,0,869
ARKANSAS,AR,4,REPUBLICAN,191617,4406513.0,4406513.0,1755380,0,0,4345,61699,36498,0,869
CALIFORNIA,CA,1,DEMOCRAT,154466,7507596.0,7507596.0,2504800,0,0,7440,115320,88040,1240,1240
CALIFORNIA,CA,1,REPUBLICAN,204291,7507596.0,7507596.0,2504800,0,0,7440,115320,88040,1240,1240
CALIFORNIA,CA,2,DEMOCRAT,294435,8801980.0,8801980.0,2933040,0,0,8712,135036,103092,1452,1452
CALIFORNIA,CA,2,REPUBLICAN,94320,8801980.0,8801980.0,2933040,0,0,8712,135036,103092,1452,1452
CALIFORNIA,CA,3,DEMOCRAT,176043,6572897.0,6572897.0,2183620,0,0,6486,100533,76751,1081,1081
CALIFORNIA,CA,3,REPUBLICAN,145945,6572897.0,6572897.0,2183620,0,0,6486,100533,76751,1081,1081
CALIFORNIA,CA,4,DEMOCRAT,194731,5641886.0,5641886.0,1886680,0,0,5604,86862,66314,934,934
CALIFORNIA,CA,4,REPUBLICAN,247291,5641886.0,5641886.0,1886680,0,0,5604,86862,66314,934,934
CALIFORNIA,CA,5,DEMOCRAT,271233,9972802.0,9972802.0,3316840,0,0,9852,152706,116582,1642,1642
CALIFORNIA,CA,5,REPUBLICAN,85227,9972802.0,9972802.0,3316840,0,0,9852,152706,116582,1642,1642
CALIFORNIA,CA,6,DEMOCRAT,229648,3507462.0,3507462.0,1167560,0,0,3468,53754,41038,578,578
CALIFORNIA,CA,6,REPUBLICAN,83466,3507462.0,3507462.0,1167560,0,0,3468,53754,41038,578,578
CALIFORNIA,CA,7,DEMOCRAT,217416,4040622.0,4040622.0,1345320,0,0,3996,61938,47286,666,666
CALIFORNIA,CA,7,REPUBLICAN,166549,4040622.0,4040622.0,1345320,0,0,3996,61938,47286,666,666
CALIFORNIA,CA,8,DEMOCRAT,124400,16675017.0,16675017.0,5548940,0,0,16482,255471,195037,2747,2747
CALIFORNIA,CA,8,REPUBLICAN,158711,16675017.0,16675017.0,5548940,0,0,16482,255471,195037,2747,2747
CALIFORNIA,CA,9,DEMOCRAT,174252,4254740.0,4254740.0,1422080,0,0,4224,65472,49984,704,704
CALIFORNIA,CA,9,REPUBLICAN,128358,4254740.0,4254740.0,1422080,0,0,4224,65472,49984,704,704
CALIFORNIA,CA,10,DEMOCRAT,166865,1790862.0,1790862.0,593880,0,0,1764,27342,20874,294,294
